tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Geocoded_City1,Geocoded_City2
Table 4,2001,2,30792,30466,"Buffalo, NY","Phoenix, AZ",24730,152.05,235.74,12130,-83.69,-0.355,12600,1.0387,"Buffalo, NY
(39.945422, -78.64671)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,1996,1,31454,31775,"Orlando, FL","Sioux Falls, SD",10340,126.17,193.39,4520,-67.22,-0.3476,5820,1.2876,"Orlando, FL
(28.538331, -81.378879)","Sioux Falls, SD
(43.488765, -96.743185)"
Table 4,2003,2,32211,30198,"Las Vegas, NV","Pittsburgh, PA",64870,136.62,203.56,35340,-66.94,-0.3289,29530,0.8356,"Las Vegas, NV
(36.169202, -115.140597)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2007,1,30194,33316,"Dallas/Fort Worth, TX","Omaha, NE",28960,158.22,238.28,22890,-80.06,-0.336,6070,0.2652,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Omaha, NE
(46.07035, -93.666319)"
Table 4,2014,2,30713,33570,"Boise, ID","San Diego, CA",18950,161.97,234.22,11700,-72.25,-0.3085,7250,0.6197,"Boise, ID
(43.597772, -83.884521)","San Diego, CA
(32.71576, -117.163817)"
Table 4,2012,4,30325,30285,"Denver, CO","Durango, CO",16340,134.82,223.67,13530,-88.86,-0.3973,2810,0.2077,"Denver, CO
(39.738453, -104.984853)","Durango, CO
(37.28225, -107.877762)"
Table 4,2004,4,33105,30466,"Cincinnati, OH","Phoenix, AZ",18650,202.75,306.56,11550,-103.81,-0.3386,7100,0.6147,"Cincinnati, OH
(39.104427, -84.513808)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,1996,2,30977,33214,"Chicago, IL","San Antonio, TX",63300,131.32,200.73,44130,-69.42,-0.3458,19170,0.4344,"Chicago, IL
(41.775002, -87.696388)","San Antonio, TX
(29.425173, -98.494599)"
Table 4,2014,1,30977,33244,"Chicago, IL","Memphis, TN",32310,196.31,288.07,22290,-91.76,-0.3185,10020,0.4495,"Chicago, IL
(41.775002, -87.696388)","Memphis, TN
(35.143378, -90.052136)"
Table 4,2010,4,30325,34689,"Denver, CO","Santa Barbara, CA",20140,147.15,289.89,6320,-142.74,-0.4924,13820,2.1867,"Denver, CO
(39.738453, -104.984853)","Santa Barbara, CA
(34.420867, -119.698342)"
Table 4,1996,4,30325,31123,"Denver, CO","St. Louis, MO",60110,128.67,212.97,35440,-84.29,-0.3958,24670,0.6961,"Denver, CO
(39.738453, -104.984853)","St. Louis, MO
(38.630276, -90.200309)"
Table 4,1998,1,33198,30693,"Kansas City, MO","Nashville, TN",27100,70.73,105.79,10570,-35.06,-0.3314,16530,1.5639,"Kansas City, MO
(39.099792, -94.578559)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2005,1,33105,31453,"Cincinnati, OH","Houston, TX",18780,207.63,304.11,12610,-96.48,-0.3173,6170,0.4893,"Cincinnati, OH
(39.104427, -84.513808)","Houston, TX
(29.760803, -95.369506)"
Table 4,1997,1,30977,30928,"Chicago, IL","Wichita, KS",16440,147.81,247.24,8860,-99.44,-0.4022,7580,0.8555,"Chicago, IL
(41.775002, -87.696388)","Wichita, KS
(39.960481, -75.605214)"
Table 4,2001,4,30423,30977,"Austin, TX","Chicago, IL",54990,154.72,246.63,59240,-91.91,-0.3727,-4250,-0.0717,"Austin, TX
(30.264979, -97.746598)","Chicago, IL
(41.775002, -87.696388)"
Table 4,1999,3,32211,31650,"Las Vegas, NV","Minneapolis/St. Paul, MN",74330,135.6,207.71,30130,-72.11,-0.3472,44200,1.467,"Las Vegas, NV
(36.169202, -115.140597)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,1997,4,31453,31136,"Houston, TX","Jacksonville, FL",19440,135.09,213.67,12580,-78.58,-0.3678,6860,0.5453,"Houston, TX
(29.760803, -95.369506)","Jacksonville, FL
(30.325968, -81.65676)"
Table 4,2013,4,30977,33244,"Chicago, IL","Memphis, TN",40020,188.65,282.62,24380,-93.97,-0.3325,15640,0.6415,"Chicago, IL
(41.775002, -87.696388)","Memphis, TN
(35.143378, -90.052136)"
Table 4,2001,2,33195,34027,"Tampa, FL (Metropolitan Area)","West Palm Beach/Palm Beach, FL",24970,71.67,120.14,9600,-48.46,-0.4034,15370,1.601,"Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
Table 4,2007,2,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",58390,134.6,203.41,39950,-68.81,-0.3383,18440,0.4616,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Columbus, OH
(39.962649, -82.996216)"
Table 4,2009,4,30397,33105,"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",26950,193.9,287.99,17380,-94.09,-0.3267,9570,0.5506,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Cincinnati, OH
(39.104427, -84.513808)"
Table 4,2005,3,31057,30647,"Charlotte, NC","Cleveland, OH (Metropolitan Area)",23640,179.49,262.78,14820,-83.3,-0.317,8820,0.5951,"Charlotte, NC
(35.222936, -80.840161)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)"
Table 4,2002,1,31703,35096,"New York City, NY (Metropolitan Area)","Syracuse, NY",34190,110.3,198.05,24440,-87.75,-0.4431,9750,0.3989,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Syracuse, NY
(43.047945, -76.147448)"
Table 4,2001,4,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",27550,152.83,222.26,24440,-69.43,-0.3124,3110,0.1273,"Buffalo, NY
(39.945422, -78.64671)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2005,3,31057,30852,"Charlotte, NC","Washington, DC (Metropolitan Area)",113060,138.54,276.92,49290,-138.38,-0.4997,63770,1.2938,"Charlotte, NC
(35.222936, -80.840161)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2004,4,30721,34100,"Boston, MA (Metropolitan Area)","Philadelphia, PA",234500,91.28,130.88,142150,-39.6,-0.3026,92350,0.6497,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2009,2,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",82320,104.35,167.09,67110,-62.73,-0.3755,15210,0.2266,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)"
Table 4,2007,1,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",187740,97.18,197.12,120260,-99.94,-0.507,67480,0.5611,"Detroit, MI
(42.332916, -83.047853)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2003,2,30325,33851,"Denver, CO","Oklahoma City, OK",18250,149.59,216.62,15420,-67.03,-0.3094,2830,0.1835,"Denver, CO
(39.738453, -104.984853)","Oklahoma City, OK
(35.468494, -97.521264)"
Table 4,2007,1,31973,33195,"Gulfport/Biloxi, MS","Tampa, FL (Metropolitan Area)",17790,105.27,187.65,2010,-82.38,-0.439,15780,7.8507,"Gulfport/Biloxi, MS
(30.369834, -89.091582)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2011,1,32575,34252,"Los Angeles, CA (Metropolitan Area)","Pasco/Kennewick/Richland, WA",14420,131.16,190.68,7310,-59.53,-0.3122,7110,0.9726,"Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","Pasco/Kennewick/Richland, WA
(37.123874, -76.391902)"
Table 4,2005,1,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",345560,159.3,238.69,248640,-79.39,-0.3326,96920,0.3898,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,2006,4,30721,30792,"Boston, MA (Metropolitan Area)","Buffalo, NY",33360,104.51,238.21,21350,-133.7,-0.5613,12010,0.5625,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Buffalo, NY
(39.945422, -78.64671)"
Table 4,1997,4,30135,31454,"Allentown/Bethlehem/Easton, PA","Orlando, FL",31640,111.62,180.23,21930,-68.62,-0.3807,9710,0.4428,"Allentown/Bethlehem/Easton, PA
(40.602753, -75.469759)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2007,1,30325,33198,"Denver, CO","Kansas City, MO",103880,100.49,151.2,70370,-50.71,-0.3354,33510,0.4762,"Denver, CO
(39.738453, -104.984853)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,2004,4,30423,34100,"Austin, TX","Philadelphia, PA",21420,197.09,288.67,12610,-91.59,-0.3173,8810,0.6987,"Austin, TX
(30.264979, -97.746598)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,1999,3,34492,31123,"Raleigh/Durham, NC","St. Louis, MO",24880,161.7,245.36,14030,-83.65,-0.3409,10850,0.7733,"Raleigh/Durham, NC
(42.673348, -72.179683)","St. Louis, MO
(38.630276, -90.200309)"
